_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_city,ltable_a_prov,ltable_a_country,ltable_a_web,rtable_a_name,rtable_a_city,rtable_a_prov,rtable_a_country,rtable_a_email_server
19,22159,409,singapore university technology design,singapore,,singapore,http://www.sutd.edu.sg/,national university singapore,singapore,singapore,singapore,nus
20,22159,57273,singapore university technology design,singapore,,singapore,http://www.sutd.edu.sg/,national university singapore,singapore,,singapore,duke-nus
21,22159,7449,singapore university technology design,singapore,,singapore,http://www.sutd.edu.sg/,national university singapore,singapore,,singapore,nus
22,22163,57513,carnegie mellon university australia,adelaide,South Australia,australia,http://www.australia.cmu.edu/,deakin university,melbourne,victoria,australia,deakin
23,22163,56730,carnegie mellon university australia,adelaide,South Australia,australia,http://www.australia.cmu.edu/,university melbourne,carlton,,australia,gmail
24,22163,18079,carnegie mellon university australia,adelaide,South Australia,australia,http://www.australia.cmu.edu/,university melbourne,parkville,victoria,australia,unimelb
25,22163,47633,carnegie mellon university australia,adelaide,South Australia,australia,http://www.australia.cmu.edu/,university western australia,crawley,washington,australia,uwa
26,22163,11806,carnegie mellon university australia,adelaide,South Australia,australia,http://www.australia.cmu.edu/,university melbourne,carlton,victoria,australia,mbs
27,22163,15940,carnegie mellon university australia,adelaide,South Australia,australia,http://www.australia.cmu.edu/,university queensland australia,brisbane,queensland,australia,uq
28,22163,46663,carnegie mellon university australia,adelaide,South Australia,australia,http://www.australia.cmu.edu/,university western australia,crawley,washington,australia,uwa
29,22163,57712,carnegie mellon university australia,adelaide,South Australia,australia,http://www.australia.cmu.edu/,university queensland australia,brisbane,qld,australia,uq
30,22163,29562,carnegie mellon university australia,adelaide,South Australia,australia,http://www.australia.cmu.edu/,university queensland australia,brisbane,4072,australia,uq
31,223,47664,ajou university,suwon si,Gyeonggi-do,south korea,http://www.ajou.ac.kr,seoul national university,seoul,,south korea,snu
32,223,48118,ajou university,suwon si,Gyeonggi-do,south korea,http://www.ajou.ac.kr,seoul national university,seoul,,south korea,naver
33,223,24865,ajou university,suwon si,Gyeonggi-do,south korea,http://www.ajou.ac.kr,ajou university,suwon,gyunggi-do,south korea,ajou
34,17437,52224,university cordoba,cordoba,,spain,http://www.uco.es,university granada,granada,provincia,spain,ugr
35,17437,56247,university cordoba,cordoba,,spain,http://www.uco.es,university rovira i virgili,reus,,spain,cat
36,17437,58431,university cordoba,cordoba,,spain,http://www.uco.es,university carlos iii de madrid,madrid,,spain,uc3m
37,22172,57513,university divinity,kew,Victoria,australia,http://www.divinity.edu.au/,deakin university,melbourne,victoria,australia,deakin
38,22172,56730,university divinity,kew,Victoria,australia,http://www.divinity.edu.au/,university melbourne,carlton,,australia,gmail
39,22172,57992,university divinity,kew,Victoria,australia,http://www.divinity.edu.au/,griffith university,nathan,qld,australia,griffith
40,22172,56196,university divinity,kew,Victoria,australia,http://www.divinity.edu.au/,griffith university,brisbane,qld,australia,griffithuni
41,22172,18079,university divinity,kew,Victoria,australia,http://www.divinity.edu.au/,university melbourne,parkville,victoria,australia,unimelb
42,22172,47633,university divinity,kew,Victoria,australia,http://www.divinity.edu.au/,university western australia,crawley,washington,australia,uwa
43,22172,11806,university divinity,kew,Victoria,australia,http://www.divinity.edu.au/,university melbourne,carlton,victoria,australia,mbs
44,22172,15940,university divinity,kew,Victoria,australia,http://www.divinity.edu.au/,university queensland australia,brisbane,queensland,australia,uq
45,22172,46663,university divinity,kew,Victoria,australia,http://www.divinity.edu.au/,university western australia,crawley,washington,australia,uwa
46,22172,57712,university divinity,kew,Victoria,australia,http://www.divinity.edu.au/,university queensland australia,brisbane,qld,australia,uq
47,22172,29562,university divinity,kew,Victoria,australia,http://www.divinity.edu.au/,university queensland australia,brisbane,4072,australia,uq
48,17460,52224,university granada,granada,,spain,http://www.ugr.es,university granada,granada,provincia,spain,ugr
49,17460,56247,university granada,granada,,spain,http://www.ugr.es,university rovira i virgili,reus,,spain,cat
50,17460,58431,university granada,granada,,spain,http://www.ugr.es,university carlos iii de madrid,madrid,,spain,uc3m
51,22196,47633,torrens university australia,adelaide,South Australia,australia,http://www.tua.edu.au/,university western australia,crawley,washington,australia,uwa
52,22196,15940,torrens university australia,adelaide,South Australia,australia,http://www.tua.edu.au/,university queensland australia,brisbane,queensland,australia,uq
53,22196,46663,torrens university australia,adelaide,South Australia,australia,http://www.tua.edu.au/,university western australia,crawley,washington,australia,uwa
54,22196,57712,torrens university australia,adelaide,South Australia,australia,http://www.tua.edu.au/,university queensland australia,brisbane,qld,australia,uq
55,22196,29562,torrens university australia,adelaide,South Australia,australia,http://www.tua.edu.au/,university queensland australia,brisbane,4072,australia,uq
56,6635,2016,german graduate school management law heilbronn,heilbronn,,germany,http://www.ggs.de,german graduate school management law ggs,heilbronn,d,germany,ggs
57,22224,57083,indian institute forest management,bhopal,Madhya Pradesh,india,http://www.iifm.ac.in/,indian institute management indore,indore,madhya pradesh,india,iimidr
58,22224,58087,indian institute forest management,bhopal,Madhya Pradesh,india,http://www.iifm.ac.in/,indian institute management bangalore,bangalore,please select,india,gmail
59,22224,11130,indian institute forest management,bhopal,Madhya Pradesh,india,http://www.iifm.ac.in/,indian institute management bangalore,bangalore,karnataka,india,ernet
60,22224,53601,indian institute forest management,bhopal,Madhya Pradesh,india,http://www.iifm.ac.in/,indian institute management calcutta,kolkata,west bengal,india,iimcal
61,22224,48464,indian institute forest management,bhopal,Madhya Pradesh,india,http://www.iifm.ac.in/,indian institute management ahmedabad,ahmedabad,gujarat,india,ernet
62,17506,57575,university californias international,tijuana,Baja California,mexico,http://www.udc.com.mx,university autonoma de. baja california,tijuana,,mexico,yahoo
63,22246,35465,niccolo cusano online university,roma,,italy,http://www.unicusano.it/,bocconi university,milan,michigan,italy,unibocconi
64,12023,57513,monash university,melbourne,Victoria,australia,http://www.monash.edu.au,deakin university,melbourne,victoria,australia,deakin
65,12023,57992,monash university,melbourne,Victoria,australia,http://www.monash.edu.au,griffith university,nathan,qld,australia,griffith
66,12023,56196,monash university,melbourne,Victoria,australia,http://www.monash.edu.au,griffith university,brisbane,qld,australia,griffithuni
67,6687,57122,goethe university frankfurt am main,frankfurt am main,,germany,http://www.uni-frankfurt.de,johann wolfgang goethe university frankfurt,frankfurt,,germany,uni-frankfurt
68,6706,47664,gongju national university education,gongju si,Chungnam-do,south korea,http://www.gjue.ac.kr,seoul national university,seoul,,south korea,snu
69,6706,48118,gongju national university education,gongju si,Chungnam-do,south korea,http://www.gjue.ac.kr,seoul national university,seoul,,south korea,naver
70,6706,24865,gongju national university education,gongju si,Chungnam-do,south korea,http://www.gjue.ac.kr,ajou university,suwon,gyunggi-do,south korea,ajou
71,12095,43783,moscow institute aviation technical university,moskva,,russian federation,http://www.mai.ru/english/,national research university,moscow,,russian federation,dol
72,6743,43783,state university teaching research production complex,orel,Orlokskaja oblast',russian federation,http://gu-unpk.ru/,national research university,moscow,,russian federation,dol
73,22327,24865,hallym university graduate studies,seoul,,south korea,http://www.hugs.ac.kr/,ajou university,suwon,gyunggi-do,south korea,ajou
74,6746,35559,gottfried wilhelm leibniz university hanover,hannover,,germany,http://www.uni-hannover.de,leibniz university hannover,hannover,,germany,uni-hannover
75,22335,24865,han young ological university,seoul,,south korea,http://www.hytu.ac.kr/,ajou university,suwon,gyunggi-do,south korea,ajou
76,22339,24865,korea soongsil cyber university,seoul,,south korea,http://kcu.ac/,ajou university,suwon,gyunggi-do,south korea,ajou
